S. No,SKU,HSN,Tax
272,6518670512074,392690,GST 18%
273,8904018605245,21069090,GST 5%
274,8904018605214,21069090,GST 5%
275,8901440023050,19053100,GST 18%
276,8906048275375,091030,GST 5%
277,8904209321367,09092200,GST 5%
278,8904209320995,09092200,GST 5%
279,8904209321329,09042211,GST 5%
280,8906021125130,09109100,GST 5%
281,8904209301888,09109100,GST 5%
282,8904209322289,09109100,GST 5%
283,8904209322067,09109100,GST 5%
284,8904209321350,09042211,GST 5%
285,8904209320988,09042211,GST 5%
286,8904209321336,09092200,GST 5%
287,8904209304087,09042211,GST 5%
288,8904209306562,09109100,GST 5%
289,8906021120944,09109100,GST 5%
290,8906021123105,091030,GST 5%
291,8904209303349,09109100,GST 5%
292,8906021122511,20019000,GST 12%
293,8906021122542,09109100,GST 5%
294,8906021121095,09109100,GST 5%
295,8906021121040,09109100,GST 5%
296,8906021120272,09109100,GST 5%
297,8901052021284,090230,GST 5%
298,8904209303318,09109100,GST 5%
299,8904209301772,09109100,GST 5%
300,8901042968926,09109100,GST 5%
301,8901440013280,09109100,GST 5%
302,8901440023180,09092200,GST 5%
303,8901030868894,090230,GST 5%
304,8904089920490-1,040110, GST 0%
305,8904089993715,040110, GST 0%
306,8904089921008,040110, GST 0%
307,8904089920629,040110, GST 0%
308,8904083306047,040110, GST 0%
309,8904083306085,040110, GST 0%
310,8904083302070,040110, GST 0%
311,8904083302100,040110, GST 0%
312,8904083302063,040110, GST 0%
313,8904083303039,040110, GST 0%
314,8904083302094,040110, GST 0%
315,8904089920490,040110, GST 0%
316,8904083314035,040110, GST 0%
